package,asset_id,relative_path,status,notes
PACK_06,MM-P06-0001,Art/Characters/Mounts/mount_cloud_deer_lv01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0002,Art/Characters/Mounts/mount_cloud_deer_lv02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0003,Art/Characters/Mounts/mount_cloud_deer_lv03.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0004,Art/Characters/Mounts/mount_crystal_yak_lv01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0005,Art/Characters/Mounts/mount_crystal_yak_lv02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0006,Art/Characters/Mounts/mount_crystal_yak_lv03.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0007,Art/Characters/Mounts/mount_jungle_lizard_lv01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0008,Art/Characters/Mounts/mount_jungle_lizard_lv02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0009,Art/Characters/Mounts/mount_jungle_lizard_lv03.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0010,Art/Characters/Mounts/mount_candy_pony_lv01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0011,Art/Characters/Mounts/mount_candy_pony_lv02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0012,Art/Characters/Mounts/mount_candy_pony_lv03.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0013,Art/Characters/Mounts/mount_desert_beetle_lv01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0014,Art/Characters/Mounts/mount_desert_beetle_lv02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0015,Art/Characters/Mounts/mount_desert_beetle_lv03.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0016,Art/Characters/Mounts/mount_sky_whale_lv01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0017,Art/Characters/Mounts/mount_sky_whale_lv02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0018,Art/Characters/Mounts/mount_sky_whale_lv03.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0019,Art/Characters/Mounts/mount_gear_rhino_lv01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0020,Art/Characters/Mounts/mount_gear_rhino_lv02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0021,Art/Characters/Mounts/mount_gear_rhino_lv03.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0022,Art/Characters/Mounts/mount_tiny_dragon_lv01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0023,Art/Characters/Mounts/mount_tiny_dragon_lv02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0024,Art/Characters/Mounts/mount_tiny_dragon_lv03.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0025,Art/Characters/Assistants/assistant_auto_miner_v01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0026,Art/Characters/Assistants/assistant_auto_miner_v02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0027,Art/Characters/Assistants/assistant_auto_builder_v01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0028,Art/Characters/Assistants/assistant_auto_builder_v02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0029,Art/Characters/Assistants/assistant_quest_scribe_v01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0030,Art/Characters/Assistants/assistant_quest_scribe_v02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0031,Art/Characters/Assistants/assistant_reward_clerk_v01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0032,Art/Characters/Assistants/assistant_reward_clerk_v02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0033,Art/Characters/Assistants/assistant_merge_butler_v01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0034,Art/Characters/Assistants/assistant_merge_butler_v02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0035,Art/Characters/Assistants/assistant_boost_nurse_v01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0036,Art/Characters/Assistants/assistant_boost_nurse_v02.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0037,Art/Characters/Assistants/assistant_cloud_guide_v01.png,created_in_package_06,new-only MicroMasters asset
PACK_06,MM-P06-0038,Art/Characters/Assistants/assistant_cloud_guide_v02.png,created_in_package_06,new-only MicroMasters asset
